estado;inicio;varinicio;varfim;PT_V;id;VIR;inteiro;real;lit;leia;escreva;literal;num;RCB;OPM;se;AB_P;FC_P;entao;OPR;fimse;facaAte;fimFaca;fim;EndOfFile;P';P;V;LV;D;L;TIPO;A;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP;R;CP_R
0;s2;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;E0;0;s1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;acc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;E2;s4;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;E2;0;0;s3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;E3;E3;E3;E3;s13;E3;E3;E3;E3;s11;s12;E3;E3;E3;E3;s16;E3;E3;E3;E3;E3;s15;E3;s10;E3;0;0;0;0;0;0;0;s5;s6;0;s7;0;0;s8;s14;0;0;s9;0
4;E4;E4;s19;E4;E4;E4;s21;s22;s23;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;E4;0;0;0;s17;s18;0;s20;0;0;0;0;0;0;0;0;0;0;0;0
5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;E5;r1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;E6;E6;E6;E6;s13;E6;E6;E6;E6;s11;s12;E6;E6;E6;E6;s16;E6;E6;E6;E6;E6;s15;E6;s10;E6;0;0;0;0;0;0;0;s24;s6;0;s7;0;0;s8;s14;0;0;s9;0
7;E7;E7;E7;E7;s13;E7;E7;E7;E7;s11;s12;E7;E7;E7;E7;s16;E7;E7;E7;E7;E7;s15;E7;s10;E7;0;0;0;0;0;0;0;s25;s6;0;s7;0;0;s8;s14;0;0;s9;0
8;E8;E8;E8;E8;s13;E8;E8;E8;E8;s11;s12;E8;E8;E8;E8;s16;E8;E8;E8;E8;E8;s15;E8;s10;E8;0;0;0;0;0;0;0;s26;s6;0;s7;0;0;s8;s14;0;0;s9;0
9;E9;E9;E9;E9;s13;E9;E9;E9;E9;s11;s12;E9;E9;E9;E9;s16;E9;E9;E9;E9;E9;s15;E9;s10;E9;0;0;0;0;0;0;0;s27;s6;0;s7;0;0;s8;s14;0;0;s9;0
